"Bill of Material for "
"On 2024/7/10 at ¤W¤È 10:10:17"

"Comment","Pattern","Quantity","Components"

"0.5R","AXIAL-0.3","2","R3, R4","Resistor"
"100R","AXIAL-0.3","1","R10","Resistor"
"104","C200","10","C1, C2, C3, C6, C7, C8, C9, C10, C12, C15","Capacitor"
"105","C200","1","C11","Capacitor"
"10k","AXIAL-0.3","6","R2, R5, R7, R14, R15, R20","Resistor"
"1K","AXIAL-0.3","1","R9","Resistor"
"1N4001","DO-41","2","D3, D4","1 Amp General Purpose Rectifier"
"1N5824","DO-201AD","2","D1, D2","3 Amp Medium Power Silicon Rectifier Diode"
"22p","C200","2","C4, C5","Capacitor"
"2K2","AXIAL-0.3","3","R8, R12, R13","Resistor"
"2K7","AXIAL-0.3","2","R16, R19","Resistor"
"2N3904","TO-92A","2","Q1, Q4","NPN General Purpose Amplifier"
"2N3906","TO-92A","1","Q3","PNP General Purpose Amplifier"
"470R","AXIAL-0.3","1","R17","Resistor"
"4K7","AXIAL-0.3","1","R18","Resistor"
"820R","AXIAL-0.3","1","R1","Resistor"
"battery_set","BATTERY_SET","1","P2",""
"Cap2","CAPR5-4X5","2","C13, C14","Capacitor"
"Header 2","HDR1X2","2","P1, P3","Header, 2-Pin"
"Header 4","HDR1X4","1","OCDS1","Header, 4-Pin"
"HT66F2390","LFPQ-64","1","U1",""
"Inductor/80125","T080125","1","L1","Inductor"
"LED","LED-0","2","DS2, DS3","Typical INFRARED GaAs LED"
"LM2596T-5.0","T05D","1","U3","SIMPLE SWITCHER?Power Converter 150 KHz 3A Step-Down Voltage Regulator, 5-pin TO-220"
"MOSFET-N","E3","1","Q2","N-Channel MOSFET"
"PresSen_200Kpa","RSCM17100Kxxxx","1","U2",""
"Res Tap","VR3","1","R11","Tapped Resistor"
"Res","AXIAL-0.3","1","R6","Resistor"
"SW-PB","TACK6","6","S1, S2, S3, S4, S5, S6","Switch"
"WG14432B","LCM_16","1","DS1","LCD Module"
"XTAL","XTAL4-8","1","Y1","Crystal Oscillator"
